(-351.5625, -49.31640625, -44.921875, -856.4453125, 956.54296875) 
(-815.91796875, -53.7109375, -40.0390625, -552.24609375, 974.12109375) 
(-1000.0, -63.4765625, -49.8046875, -893.5546875, 953.125) 
(45.41015625, -28.3203125, -39.55078125, 500.48828125, 944.82421875) 
(-771.484375, -8.30078125, -38.57421875, 857.421875, 874.0234375) 
(158.203125, -43.9453125, -48.33984375, -482.91015625, 730.46875) 
(262.6953125, -34.66796875, -34.66796875, -100.5859375, 448.2421875) 
(-801.7578125, -13.671875, -36.62109375, -939.453125, 571.2890625) 
(-1000.0, -74.21875, -49.8046875, -1000.0, 644.04296875) 
(-257.8125, -46.38671875, -42.48046875, 127.9296875, 708.49609375) 
(-1000.0, -73.73046875, -40.0390625, -1000.0, 525.390625) 
(-906.25, -10.7421875, -22.94921875, -864.2578125, 401.85546875) 
(666.9921875, -18.06640625, -24.4140625, 342.28515625, 416.015625) 
(-905.76171875, -56.15234375, -34.1796875, -1000.0, 421.875) 
(-465.33203125, -55.6640625, -37.109375, -249.51171875, 490.72265625) 
(-1000.0, -66.40625, -39.0625, -686.03515625, 322.265625) 
(472.65625, -32.2265625, -25.87890625, 811.5234375, 320.80078125) 
(-847.65625, -11.71875, -22.4609375, 678.22265625, 311.03515625) 
(-218.26171875, -39.0625, -39.55078125, -765.13671875, 283.203125) 
(-1000.0, -63.4765625, -37.59765625, -987.3046875, 128.90625) 
(-789.55078125, -8.7890625, -30.76171875, 950.68359375, 154.78515625) 
(-114.74609375, -37.59765625, -28.80859375, 345.703125, 44.43359375) 
(222.65625, -32.2265625, -34.66796875, -347.65625, 226.5625) 
(-1000.0, -60.546875, -44.43359375, -1000.0, 368.65234375) 
(-267.08984375, -37.59765625, -43.9453125, 64.453125, 436.03515625) 
(-803.22265625, -7.32421875, -31.73828125, -899.4140625, 323.2421875) 
(366.2109375, -17.578125, -35.64453125, 11.23046875, 362.79296875) 
(-1000.0, -58.10546875, -42.96875, -1000.0, 259.765625) 
(-631.34765625, -59.5703125, -34.66796875, -407.2265625, -30.2734375) 
(-953.61328125, -12.6953125, -27.34375, -920.41015625, 158.203125) 
(-1000.0, -69.82421875, -30.2734375, -730.95703125, -994.62890625) 
(-974.12109375, -66.89453125, -39.0625, -1000.0, -1000.0) 
(212.40234375, -22.4609375, -22.4609375, 693.359375, -982.91015625) 
(554.6875, -18.5546875, -34.1796875, 255.859375, -271.97265625) 
(-810.546875, -3.90625, -25.87890625, 704.58984375, -1000.0) 
(-122.55859375, -38.57421875, -34.66796875, -725.5859375, -1000.0) 
(-1000.0, -61.5234375, -34.66796875, -1000.0, -1000.0) 
(-807.12890625, -20.01953125, -24.90234375, 954.1015625, -988.28125) 
(-204.58984375, -41.015625, -26.85546875, 292.48046875, -996.09375) 
(-1000.0, -64.94140625, -31.73828125, -1000.0, -1000.0) 
(235.3515625, -37.109375, -26.3671875, -325.1953125, -991.2109375) 
(-292.48046875, -42.48046875, -30.76171875, -28.3203125, -905.76171875) 
(-812.01171875, -0.48828125, -22.4609375, -890.13671875, -775.87890625) 
(-1000.0, -56.640625, -34.66796875, -1000.0, -1000.0) 
(-577.63671875, -48.33984375, -33.203125, -319.82421875, -487.3046875) 
(956.54296875, 2.44140625, -26.85546875, -894.04296875, 798.828125) 
(420.41015625, -17.08984375, -25.87890625, 47.36328125, -802.24609375) 
(-998.046875, 13.18359375, -23.92578125, 547.8515625, -985.83984375) 
(-415.52734375, -28.80859375, -30.2734375, -882.32421875, 927.734375) 
(-1000.0, -52.734375, -30.2734375, -803.7109375, 985.83984375) 
(152.34375, -18.5546875, -22.4609375, 644.53125, 954.1015625) 
(-771.484375, 3.90625, -19.53125, 827.1484375, 937.98828125) 
(-1000.0, -60.546875, -30.2734375, -1000.0, 911.1328125) 
(64.453125, -34.1796875, -25.87890625, -544.43359375, 903.80859375) 
(-245.60546875, -31.73828125, -22.94921875, 238.76953125, 949.70703125) 
(-806.640625, 3.90625, -15.625, -955.078125, 823.2421875) 
(242.1875, -21.484375, -21.97265625, -147.4609375, 674.31640625) 
(-868.65234375, 8.30078125, -20.5078125, -860.3515625, 606.4453125) 
(-1000.0, -66.40625, -38.57421875, -1000.0, 584.9609375) 
(-416.9921875, -43.9453125, -34.1796875, -199.70703125, 593.26171875) 
(562.5, -7.32421875, -28.3203125, 249.0234375, 605.46875) 
(-1000.0, -53.7109375, -37.59765625, -1000.0, 546.38671875) 
(-956.0546875, -58.59375, -39.55078125, -641.6015625, 393.06640625) 
(-375.48828125, -50.78125, -35.64453125, -863.76953125, 241.69921875) 
(564.94140625, -28.80859375, -27.34375, 852.5390625, 400.87890625) 
(-924.31640625, -14.6484375, -22.4609375, 604.4921875, 350.09765625) 
(-1000.0, -74.21875, -36.1328125, -905.2734375, 237.3046875) 
(-37.59765625, -34.66796875, -28.3203125, 458.984375, 276.85546875) 
(181.640625, -28.80859375, -27.83203125, -428.7109375, 443.359375) 
(-1000.0, -60.05859375, -37.109375, -1000.0, 309.5703125) 
(-784.1796875, -2.44140625, -23.4375, 888.18359375, 377.44140625) 
(-257.32421875, -35.64453125, -33.203125, 105.46875, 232.91015625) 
(-803.22265625, 0.0, -27.83203125, -939.453125, 274.4140625) 
(252.44140625, -25.390625, -35.15625, -121.09375, 254.39453125) 
(-1000.0, -60.546875, -44.921875, -1000.0, 208.984375) 
(-535.15625, -45.8984375, -42.96875, -309.08203125, 137.20703125) 
(-933.59375, -5.859375, -31.73828125, -875.9765625, 129.8828125) 
(639.16015625, -10.7421875, -26.3671875, 338.8671875, 105.46875) 
(-917.48046875, -54.6875, -28.3203125, -1000.0, 51.7578125) 
(-1000.0, -60.546875, -33.203125, -694.3359375, -89.35546875) 
(336.9140625, -19.04296875, -24.4140625, 773.92578125, -110.3515625) 
(-194.3359375, -37.59765625, -26.85546875, -737.3046875, 9.765625) 
(-832.51953125, -1.953125, -17.08984375, 720.703125, 61.03515625) 
(-153.3203125, -20.5078125, -27.83203125, 417.48046875, 28.3203125) 
(-1000.0, -53.22265625, -35.15625, -942.3828125, -94.23828125) 
(223.14453125, -40.0390625, -36.62109375, -326.171875, 86.9140625) 
(-799.8046875, -6.34765625, -26.3671875, 952.1484375, 208.49609375) 
(-1000.0, -68.84765625, -40.52734375, -1000.0, 50.29296875) 
(-293.9453125, -41.9921875, -41.015625, 9.765625, 123.046875) 
(-813.96484375, -7.32421875, -31.73828125, -866.2109375, 68.84765625) 
(338.8671875, -19.04296875, -24.4140625, 73.2421875, -29.296875) 
(-1000.0, -52.734375, -38.57421875, -1000.0, -75.1953125) 
(925.29296875, -14.6484375, -24.4140625, -924.8046875, -4.39453125) 
(-680.6640625, -47.36328125, -29.78515625, -955.078125, 99.609375) 
(848.6328125, -11.23046875, -20.99609375, 514.6484375, 66.89453125) 
(-675.29296875, -51.26953125, -38.0859375, -377.9296875, -20.01953125) 
(-1000.0, -55.17578125, -41.015625, -755.859375, 12.20703125) 
(147.94921875, -21.97265625, -36.1328125, 682.6171875, -87.40234375) 
(-791.50390625, -0.9765625, -22.94921875, 822.265625, -54.19921875) 
(-19.53125, -26.3671875, -27.83203125, -555.17578125, 96.6796875) 
(-1000.0, -55.17578125, -35.64453125, -1000.0, -28.80859375) 
(-235.83984375, -29.78515625, -24.90234375, 234.375, -217.7734375) 
(-810.05859375, 3.90625, -14.6484375, -916.015625, -3.90625) 
(-1000.0, -59.08203125, -35.64453125, -1000.0, -110.3515625) 
(241.69921875, -21.484375, -22.4609375, -133.7890625, 126.953125) 
(-846.6796875, -15.13671875, -29.78515625, -835.9375, 10.7421875) 
(-366.69921875, -45.8984375, -35.64453125, -83.984375, -167.48046875) 
(524.90234375, -22.94921875, -26.3671875, 250.48828125, 61.03515625) 
(-1000.0, -43.9453125, -33.69140625, -1000.0, 122.55859375) 
(-824.21875, -49.8046875, -40.0390625, -456.0546875, 94.23828125) 
(752.44140625, -26.85546875, -30.2734375, -972.16796875, 44.43359375) 
(-987.79296875, -22.4609375, -28.3203125, 632.8125, 147.94921875) 
(-463.37890625, -66.89453125, -41.50390625, -854.00390625, 4.8828125) 
(-1000.0, -78.61328125, -48.828125, -789.55078125, -192.3828125) 
(55.6640625, -31.73828125, -29.78515625, 656.25, -57.6171875) 
(139.6484375, -25.87890625, -42.48046875, -412.109375, -94.7265625) 
(-255.859375, -36.62109375, -34.1796875, 186.03515625, 110.3515625) 
(-775.87890625, 4.39453125, -20.01953125, 918.9453125, -8.7890625) 
(-1000.0, -65.91796875, -41.015625, -1000.0, 17.08984375) 
(-803.22265625, -1.46484375, -33.69140625, -875.0, 169.43359375) 
(268.5546875, -26.85546875, -24.90234375, -9.765625, 175.78125) 
(-1000.0, -63.4765625, -40.0390625, -1000.0, 74.21875) 
(-470.21484375, -52.24609375, -44.43359375, -228.515625, 59.08203125) 
(-894.04296875, -1.46484375, -32.2265625, -841.796875, 59.08203125) 
(606.4453125, -3.90625, -48.33984375, 289.55078125, -24.90234375) 
(-975.09765625, -42.96875, -57.6171875, -1000.0, -86.42578125) 
(-977.05078125, -52.24609375, -48.828125, -608.3984375, -31.25) 
(504.39453125, -21.97265625, -44.921875, 875.0, 13.671875) 
(-218.75, -35.15625, -50.29296875, -791.015625, 41.50390625) 
(-851.07421875, -0.9765625, -47.36328125, 648.92578125, 27.83203125) 
(-1000.0, -55.6640625, -53.22265625, -970.21484375, -111.81640625) 
(-103.02734375, -20.5078125, -50.29296875, 378.41796875, -130.37109375) 
(221.19140625, -27.34375, -47.36328125, -376.46484375, 6.8359375) 
(-786.62109375, 2.9296875, -42.48046875, 933.10546875, 16.11328125) 
(-1000.0, -60.05859375, -53.7109375, -1000.0, 14.16015625) 
(-265.13671875, -40.52734375, -47.8515625, 51.26953125, 60.05859375) 
(318.359375, -22.94921875, -41.9921875, 4.8828125, 14.16015625) 
(-802.734375, -1.953125, -37.59765625, -887.6953125, -43.45703125) 
(-1000.0, -62.5, -56.640625, -1000.0, 94.23828125) 
(988.76953125, -24.4140625, -39.55078125, -922.36328125, -131.8359375) 
(-618.1640625, -55.6640625, -52.734375, -394.04296875, -37.59765625) 
(800.29296875, -13.671875, -33.69140625, 453.61328125, -24.4140625) 
(-1000.0, -63.96484375, -55.6640625, -730.46875, -87.890625) 
(242.67578125, -20.5078125, -48.828125, 734.86328125, -121.58203125) 
(-744.62890625, -48.828125, -43.45703125, -1000.0, 18.5546875) 
(-800.78125, 2.44140625, -41.015625, 754.39453125, -87.890625) 
(-78.125, -39.0625, -48.828125, -658.69140625, -84.9609375) 
(-1000.0, -66.40625, -55.6640625, -1000.0, -151.85546875) 
(-212.40234375, -30.2734375, -45.41015625, 291.9921875, -155.2734375) 
(-805.6640625, -5.37109375, -30.76171875, -973.14453125, -53.22265625) 
(-1000.0, -66.40625, -41.50390625, -1000.0, -29.296875) 
(235.83984375, -30.76171875, -31.25, -223.6328125, -3.90625) 
(-299.31640625, -54.6875, -34.66796875, -74.70703125, -40.52734375) 
(-818.359375, -11.23046875, -23.4375, -823.73046875, 72.265625) 
(-1000.0, -59.08203125, -22.4609375, -1000.0, -60.546875) 
(474.12109375, -18.5546875, -23.92578125, 196.2890625, 69.82421875) 
(-658.69140625, -49.8046875, -21.97265625, -368.65234375, 54.6875) 
(932.12890625, -8.7890625, -19.04296875, -896.484375, 96.19140625) 
(-1000.0, -68.84765625, -38.0859375, -733.3984375, -190.4296875) 
(954.58984375, -8.30078125, -21.484375, 541.9921875, -40.0390625) 
(172.8515625, -24.90234375, -34.66796875, 761.23046875, -93.75) 
(-524.90234375, -52.24609375, -24.90234375, -951.171875, -144.53125) 
(-1000.0, -64.94140625, -56.15234375, -1000.0, 18.5546875) 
(-774.90234375, 1.953125, -19.53125, 871.09375, -78.61328125) 
(-244.62890625, -37.109375, -41.9921875, 265.625, -23.92578125) 
(55.17578125, -33.69140625, -38.0859375, -526.3671875, -63.4765625) 
(-804.19921875, -0.48828125, -34.1796875, -875.0, -17.08984375) 
(239.74609375, -18.5546875, -44.921875, -72.265625, 77.63671875) 
(-1000.0, -61.03515625, -50.78125, -1000.0, 109.375) 
(-846.6796875, -11.23046875, -38.0859375, -804.19921875, -67.87109375) 
(562.5, -16.11328125, -41.50390625, 275.87890625, 8.7890625) 
(-356.93359375, -56.640625, -43.9453125, -128.41796875, -3.41796875) 
(-1000.0, -66.40625, -52.734375, -1000.0, -23.92578125) 
(-765.625, -59.08203125, -52.24609375, -410.15625, 2.44140625) 
(784.66796875, -7.8125, -40.52734375, -931.640625, 55.17578125) 
(-274.90234375, -37.109375, -37.59765625, -798.33984375, 132.32421875) 
(-896.97265625, 0.48828125, -28.3203125, 684.5703125, 69.3359375) 
(-1000.0, -60.546875, -54.6875, -817.3828125, -84.9609375) 
(-764.16015625, 9.765625, -28.3203125, -967.7734375, 30.76171875) 
(198.2421875, -18.06640625, -32.71484375, -278.3203125, 236.328125) 
(47.8515625, -25.87890625, -44.43359375, 645.01953125, -241.69921875) 
(-1000.0, -68.84765625, -50.29296875, -1000.0, 56.15234375) 
(-265.13671875, -34.1796875, -41.9921875, 144.04296875, -31.25) 
(-797.36328125, 8.30078125, -20.99609375, -820.80078125, -35.64453125) 
(-1000.0, -55.6640625, -41.9921875, -1000.0, -55.6640625) 
(287.59765625, -19.04296875, -29.78515625, 46.875, -87.40234375) 
(-440.4296875, -43.45703125, -29.296875, -182.12890625, -73.2421875) 
(767.08984375, -4.39453125, -20.01953125, 421.875, -9.27734375) 
(-916.9921875, -4.8828125, -19.04296875, -819.82421875, -66.40625) 
(-983.88671875, -54.19921875, -40.52734375, -538.57421875, -186.03515625) 
(-810.05859375, -44.43359375, -31.73828125, -1000.0, -53.22265625) 
(-817.3828125, -2.44140625, -18.06640625, 774.90234375, -57.12890625) 
(-1000.0, -71.77734375, -28.80859375, -890.13671875, -275.390625) 
(-118.65234375, -50.29296875, -25.390625, -693.84765625, -128.90625) 
(525.390625, -10.25390625, -25.87890625, 973.14453125, -220.21484375) 
(-770.99609375, 2.9296875, -11.23046875, -937.01171875, -173.33984375) 
(-61.03515625, -26.3671875, -19.04296875, 549.8046875, -204.58984375) 
(214.35546875, -31.73828125, -21.484375, -212.890625, -245.60546875) 
(-1000.0, -63.96484375, -32.2265625, -1000.0, -249.0234375) 
